object,init,strategy,seed,round,S1~bad,S1~psnr,S2~bad,S2~psnr,score~bad,score~psnr,IG~bad,IG~psnr
chair,biased,ig,0,1,-0.4343220499601987,-0.4440714908456845,-0.4892517342026459,-0.5048898828702475,-0.5326257533831167,-0.5556972821348698,-0.5228767461753028,-0.6349405812250932
chair,biased,ig,0,3,-0.4255060456784595,-0.5525951634572325,-0.5083676668159427,-0.551871921182266,-0.5265226153157188,-0.6113748320644873,-0.15992604937590962,-0.3314764056311874
chair,biased,ig,0,2,-0.4191075856250707,-0.5465641943681389,-0.41891210634073067,-0.6682757698282868,-0.4877496219019105,-0.7024002798440281,-0.11994995193034126,-0.426395310495278
chair,biased,ig,0,0,-0.14917660643755987,0.6496406811094053,0.29628084172035674,-0.8230882616663825,0.4315247105547464,-0.12939766519265006,-0.42503591005095287,-0.7263549155219928
chair,biased,ig,1,1,-0.24558962889958685,-0.2834748493233767,-0.5779879458701339,-0.7253686365187065,-0.4036332966908002,-0.5317823433531709,-0.5488687247350245,-0.7199431401613446
chair,biased,ig,1,3,-0.12132333184057323,-0.6007321988356471,-0.31634348410210483,-0.6123130317957904,-0.26736453201970445,-0.6769793999104344,-0.3734589846710207,-0.4476630302508477
chair,biased,ig,1,2,-0.39631058571766614,-0.5469386915234009,-0.530405259421587,-0.6483615749457288,-0.5294463820899822,-0.6484047861559514,-0.2345470378175186,-0.4751597610265285
chair,biased,ig,1,0,-0.1365621733216112,0.6962003612871621,0.4149282455702958,-0.8402130981905025,0.4615386634124579,-0.06304329759827142,-0.33207291005567263,-0.6074140881935295
chair,biased,random,0,1,-0.19410750161100795,-0.42586520601948374,-0.10921686061938517,-0.8367271900231228,-0.06081649672112506,-0.6955820476858344,,
chair,biased,random,0,3,-0.503358710255262,-0.6134370801612181,-0.47136811464397677,-0.5792700403045231,-0.5359270040304523,-0.6951343484102105,,
chair,biased,random,0,2,-0.21128018354475958,-0.6793933969155427,-0.08432976326429828,-0.5505478564153214,-0.1639515622910172,-0.6712861508071235,,
chair,biased,random,0,0,-0.14862724000227448,0.6475289445253625,0.28699234998490997,-0.828364978764538,0.4310873168960797,-0.13622100626785114,,
chair,biased,random,1,1,-0.1271957090330162,-0.17099048557674085,0.11672226223418371,-0.9112960084909594,0.15318410977597516,-0.6949167961790683,,
chair,biased,random,1,3,-0.5128795342588447,-0.5986005373936408,-0.7561330049261085,-0.7622637707120465,-0.7014599193909539,-0.7453000447828034,,
chair,biased,random,1,2,0.005940512567260306,-0.4899431052398736,0.04535942467360104,-0.6170169861209708,0.09835282981985041,-0.6241735856044939,,
chair,biased,random,1,0,-0.12766208715506044,0.6867264146404407,0.4503588814969361,-0.8369798842656381,0.4828169901192773,-0.06937675777576578,,
